nb_data_points nb_test_data_points input_dim teacher_size student_size output_dim init_range batch_size nb_AH_layer2 nb_AH_layer1 nb_epochs learning_rate feedback_scale nb_init nonlinearity modification_type initialization_type
250 100 53 166 166 1 1 10 0 21 20000 0.1 1 10 lin col uniform
250 100 53 166 166 1 1 10 0 23 20000 0.1 1 10 lin col uniform
250 100 53 166 166 1 1 10 0 26 20000 0.1 1 10 lin col uniform
250 100 53 166 166 1 1 10 0 29 20000 0.1 1 10 lin col uniform
250 100 53 166 166 1 1 10 0 31 20000 0.1 1 10 lin col uniform
250 100 53 166 166 1 1 10 0 34 20000 0.1 1 10 lin col uniform
250 100 53 166 166 1 1 10 0 37 20000 0.1 1 10 lin col uniform
250 100 53 166 166 1 1 10 0 39 20000 0.1 1 10 lin col uniform
250 100 53 166 166 1 1 10 0 42 20000 0.1 1 10 lin col uniform
250 100 53 166 166 1 1 10 0 45 20000 0.1 1 10 lin col uniform
250 100 53 166 166 1 1 10 0 47 20000 0.1 1 10 lin col uniform
250 100 53 166 166 1 1 10 0 50 20000 0.1 1 10 lin col uniform
250 100 53 166 166 1 1 10 0 53 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 0 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 2 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 5 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 8 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 11 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 14 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 17 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 19 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 22 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 25 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 28 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 31 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 34 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 37 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 39 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 42 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 45 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 48 20000 0.1 1 10 lin col uniform
