nb_data_points nb_test_data_points input_dim teacher_size student_size output_dim init_range batch_size nb_AH_layer2 nb_AH_layer1 nb_epochs learning_rate feedback_scale nb_init nonlinearity modification_type initialization_type
250 100 6 213 213 1 1 250 191 0 100000 0.1 1 20 lin col uniform
250 100 6 213 213 1 1 250 202 0 100000 0.1 1 20 lin col uniform
250 100 6 213 213 1 1 250 213 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 0 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 10 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 21 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 31 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 42 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 52 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 63 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 73 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 84 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 94 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 105 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 115 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 126 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 136 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 147 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 157 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 168 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 178 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 189 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 199 0 100000 0.1 1 20 lin col uniform
250 100 9 210 210 1 1 250 210 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 0 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 10 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 20 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 31 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 41 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 51 0 100000 0.1 1 20 lin col uniform
